t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758269071,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269101,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269131,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269161,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269191,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269221,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269251,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269281,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269311,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269341,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269371,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269401,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269431,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269461,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269491,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269521,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269551,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269581,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
