t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758268531,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268561,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268591,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268621,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268651,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268681,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268711,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268741,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268771,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268801,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268831,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268861,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268891,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268921,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268951,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268981,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269011,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269041,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269071,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269101,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269131,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269161,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269191,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269221,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269251,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269281,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269311,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269341,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269371,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269401,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269431,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269461,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269491,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269521,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269551,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269581,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269611,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269641,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269671,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269701,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269731,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269761,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269791,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269821,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269851,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269881,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269911,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269941,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758269971,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270001,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270031,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270061,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270091,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270121,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270151,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270181,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270211,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270241,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270271,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
