t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758266430,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266460,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266490,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266520,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266550,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266580,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266610,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266640,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266670,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266700,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266730,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266760,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266790,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266820,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
1758266850,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758266880,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758266910,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758266940,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758266970,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267000,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267030,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267060,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267090,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267120,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267150,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267180,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267210,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267240,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267270,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267300,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
